barometer1	barometer2	insideTemperature	ambientTemperature	light	gyroscope1	gyroscope2	gyroscope3	accelerometer1	accelerometer2	accelerometer3	timestamp
22.8	999.17	22.75	18.71875	0.88	6.77490234375	-7.24029541015625	-6.43157958984375	0.029541015625	0.0263671875	-0.971923828125	1512052888667
22.8	999.17	22.75	18.71875	0.88	6.77490234375	-7.24029541015625	-6.43157958984375	0.029541015625	0.0263671875	-0.971923828125	1512052888937
22.8	999.17	22.75	18.71875	0.88	7.87353515625	-4.974365234375	-8.39996337890625	0.029541015625	0.0263671875	-0.971923828125	1512052889207
22.8	999.17	22.75	18.71875	1.12	7.87353515625	-4.974365234375	-8.39996337890625	0.029541015625	0.0263671875	-0.971923828125	1512052889476
22.8	999.17	22.75	18.625	1.12	7.87353515625	-4.974365234375	-8.39996337890625	0.029541015625	0.0263671875	-0.971923828125	1512052890084
22.79	999.19	22.75	18.625	1.12	7.87353515625	-4.974365234375	-8.39996337890625	0.029541015625	0.0263671875	-0.971923828125	1512052890489
22.79	999.19	22.75	18.625	1.12	7.87353515625	-4.974365234375	-8.39996337890625	0.10302734375	0.083984375	-0.958984375	1512052890760
22.79	999.19	22.75	18.625	1.12	7.87353515625	-4.974365234375	-8.39996337890625	0.10302734375	0.083984375	-0.958984375	1512052891030
22.79	999.19	22.75	18.625	1.12	0.81634521484375	4.82177734375	3.0517578125	0.10302734375	0.083984375	-0.958984375	1512052891300
22.79	999.19	22.75	18.625	1.12	0.81634521484375	4.82177734375	3.0517578125	0.10302734375	0.083984375	-0.958984375	1512052891569
22.79	999.19	22.75	18.8125	1.12	0.81634521484375	4.82177734375	3.0517578125	0.10302734375	0.083984375	-0.958984375	1512052892176
22.8	999.2	22.75	18.8125	1.12	0.81634521484375	4.82177734375	3.0517578125	0.10302734375	0.083984375	-0.958984375	1512052892581
22.8	999.2	22.75	18.8125	1.12	0.81634521484375	4.82177734375	3.0517578125	0.115966796875	-0.061279296875	-1.072021484375	1512052892852
22.8	999.2	22.75	18.8125	1.12	0.81634521484375	4.82177734375	3.0517578125	0.115966796875	-0.061279296875	-1.072021484375	1512052893122
22.8	999.2	22.75	18.8125	1.12	1.89971923828125	-1.99127197265625	-2.96783447265625	0.115966796875	-0.061279296875	-1.072021484375	1512052893392
22.8	999.2	22.75	18.8125	0.97	1.89971923828125	-1.99127197265625	-2.96783447265625	0.115966796875	-0.061279296875	-1.072021484375	1512052893661
22.8	999.2	22.75	18.84375	0.97	1.89971923828125	-1.99127197265625	-2.96783447265625	0.115966796875	-0.061279296875	-1.072021484375	1512052894269
22.8	999.23	22.75	18.84375	0.97	1.89971923828125	-1.99127197265625	-2.96783447265625	0.115966796875	-0.061279296875	-1.072021484375	1512052894674
22.8	999.23	22.75	18.84375	0.97	1.89971923828125	-1.99127197265625	-2.96783447265625	0.165771484375	0.029541015625	-1.06103515625	1512052894945
22.8	999.23	22.75	18.84375	0.97	1.89971923828125	-1.99127197265625	-2.96783447265625	0.165771484375	0.029541015625	-1.06103515625	1512052895215
22.8	999.23	22.75	18.84375	0.97	11.45172119140625	-3.63922119140625	-5.83648681640625	0.165771484375	0.029541015625	-1.06103515625	1512052895485
22.8	999.23	22.75	18.84375	1.12	11.45172119140625	-3.63922119140625	-5.83648681640625	0.165771484375	0.029541015625	-1.06103515625	1512052895754
22.8	999.23	22.75	18.71875	1.12	11.45172119140625	-3.63922119140625	-5.83648681640625	0.165771484375	0.029541015625	-1.06103515625	1512052896362
22.79	999.17	22.75	18.71875	1.12	11.45172119140625	-3.63922119140625	-5.83648681640625	0.165771484375	0.029541015625	-1.06103515625	1512052896766
22.79	999.17	22.75	18.71875	1.12	11.45172119140625	-3.63922119140625	-5.83648681640625	0.22412109375	-0.003173828125	-0.94580078125	1512052897037
22.79	999.17	22.75	18.71875	1.12	11.45172119140625	-3.63922119140625	-5.83648681640625	0.22412109375	-0.003173828125	-0.94580078125	1512052897307
22.79	999.17	22.75	18.71875	1.12	6.4697265625	0.7476806640625	-8.7432861328125	0.22412109375	-0.003173828125	-0.94580078125	1512052897577
